"Philippine Total Trade, Imports, Exports, and Balance of Trade in Goods by Month and Year: 1991-2024P"

"Year","Month","Exports","Imports"
"2003","Jan",2732.85,3142.49
"2003","Feb",2787.82,3021.44
"2003","Mar",3128.98,3694.22
"2003","Apr",2726.21,3432.72
"2003","May",2827.66,3609.65
"2003","Jun",3060.47,3175.46
"2003","Jul",3009.49,3491.62
"2003","Aug",3003.21,3360.19
"2003","Sep",3353.95,3265.38
"2003","Oct",3339.92,3401.22
"2003","Nov",3085.49,3545.75
"2003","Dec",3175.14,3330.38
"2003","Total",36231.21,40470.51
"2004","Jan",2849.37,3481.40
"2004","Feb",3004.81,3313.65
"2004","Mar",3361.75,3921.99
"2004","Apr",2982.49,3764.80
"2004","May",3267.55,3584.00
"2004","Jun",3317.93,3778.07
"2004","Jul",3108.88,3760.77
"2004","Aug",3430.06,3687.63
"2004","Sep",3641.43,3816.87
"2004","Oct",3753.43,4007.92
"2004","Nov",3685.41,3657.58
"2004","Dec",3277.42,3264.51
"2004","Total",39680.52,44039.21
"2005","Jan",3294.32,3501.40
"2005","Feb",3000.16,3211.23
"2005","Mar",3267.57,3832.01
"2005","Apr",3245.70,4112.56
"2005","May",3304.99,3798.00
"2005","Jun",3358.57,4210.26
"2005","Jul",3503.07,3832.99
"2005","Aug",3512.64,4238.87
"2005","Sep",3674.93,4337.20
"2005","Oct",3634.53,4159.12
"2005","Nov",3631.01,3975.17
"2005","Dec",3827.18,4209.38
"2005","Total",41254.68,47418.18
"2006","Jan",3532.75,3707.18
"2006","Feb",3448.30,3415.25
"2006","Mar",4173.60,4226.60
"2006","Apr",3917.88,4416.68
"2006","May",3885.12,4447.84
"2006","Jun",4055.14,4534.00
"2006","Jul",4016.28,4412.45
"2006","Aug",4273.80,4883.66
"2006","Sep",4178.40,4355.48
"2006","Oct",4207.34,4686.41
"2006","Nov",4031.03,4509.66
"2006","Dec",3690.46,4178.47
"2006","Total",47410.12,51773.68
"2007","Jan",3991.85,3904.16
"2007","Feb",3721.35,3690.14
"2007","Mar",4487.33,4566.52
"2007","Apr",4124.05,4342.80
"2007","May",4127.86,4296.14
"2007","Jun",4147.42,4706.54
"2007","Jul",4248.79,5041.56
